Difficulty,Category,Word,Korean,Status
Stem,State_Expression,gently,살살,Missing
Stem,State_Expression,harder,세게,Missing
Stem,State_Expression,loudly,시끄럽게,Missing
Stem,State_Expression,dazzling,눈부시다,Missing
Stem,State_Expression,different,다르다,Missing
Stem,State_Expression,sweet,달콤하다,Missing
Stem,State_Expression,thick,두껍다,Missing
Stem,State_Expression,warm,따뜻하다,Missing
Stem,State_Expression,it_s_the_same,똑같다,Missing
Stem,State_Expression,that_s_right,맞다,Missing
Stem,State_Expression,smooth,매끄럽다,Missing
Stem,State_Expression,spicy,매콤하다,Missing
Stem,State_Expression,sour,새콤하다,Missing
Stem,State_Expression,it_s_amazing,신기하다,Missing
Stem,State_Expression,it_s_bland,싱겁다,Missing
Stem,State_Expression,bitter,떫다,Missing
Stem,State_Expression,safe,안전하다,Missing
Stem,State_Expression,weak,약하다,Missing
Stem,State_Expression,thin,얇다,Missing
Stem,State_Expression,shallow,얕다,Missing
Stem,Colors_Shapes,rhombus,마름모,Missing
Stem,Colors_Shapes,star_shape,별모양,Missing
Stem,Colors_Shapes,line,줄,Missing
Stem,Colors_Shapes,silver,은,Missing
Stem,Colors_Shapes,gray,회색,Missing
Stem,Daily_Supplies,separate_recycling,분리수거,Missing
Stem,Daily_Supplies,powdered_milk,분유,Missing
Stem,Daily_Supplies,soap_bubbles,비누거품,Missing
Stem,Daily_Supplies,laundry,빨래,Missing
Stem,Daily_Supplies,shower,샤워,Missing
Stem,Daily_Supplies,shampoo,샴푸,Missing
Stem,Daily_Supplies,washing_dishes,설거지,Missing
Stem,Daily_Supplies,wash_your_face,세수,Missing
Stem,Daily_Supplies,nail_clippers,손톱깎이,Missing
Stem,Daily_Supplies,food_tray,식판,Missing
Stem,Daily_Supplies,errands,심부름,Missing
Stem,Daily_Supplies,trash,쓰레기,Missing
Stem,Daily_Supplies,brush_your_teeth,양치질,Missing
Stem,Daily_Supplies,pocket_money,용돈,Missing
Stem,Daily_Supplies,haircut,이발,Missing
Stem,Daily_Supplies,baby_bottle,젖병,Missing
Stem,Daily_Supplies,cleaning,청소,Missing
Stem,Daily_Supplies,car_seat,카시트,Missing
Stem,Daily_Supplies,cream,크림,Missing
Stem,Daily_Supplies,bib,턱받이,Missing
Stem,Daily_Supplies,perfume,향수,Missing
Stem,Numbers_Units,fourth,넷째,Missing
Stem,Numbers_Units,second,둘째,Missing
Stem,Numbers_Units,last,마지막,Missing
Stem,Numbers_Units,full,가득,Missing
Stem,Numbers_Units,plenty,듬뿍,Missing
Stem,Numbers_Units,forty,마흔,Missing
Stem,Numbers_Units,kwon,권,Missing
Stem,Numbers_Units,stand,대,Missing
Stem,Numbers_Units,marie,마리,Missing
Stem,Numbers_Units,people,명,Missing
Stem,Numbers_Units,bottle,병,Missing
Stem,Numbers_Units,bunch,송이,Missing
Stem,Numbers_Units,chapter,장,Missing
Stem,Numbers_Units,pair,켤레,Missing
Stem,Time,season,계절,Missing
Stem,Time,friday,금요일,Missing
Stem,Time,date,날짜,Missing
Stem,Time,next_year,내년,Missing
Stem,Time,the_day_after_tomorrow,모레,Missing
Stem,Time,vacation,방학,Missing
Stem,Time,spring,봄,Missing
Stem,Time,dawn,새벽,Missing
Stem,Time,birthday,생일,Missing
Stem,Time,picnic,소풍,Missing
Stem,Time,summer,여름,Missing
Stem,Time,weekend,주말,Missing
Stem,Time,late,늦게,Missing
Stem,Time,first,첫째,Missing
Stem,Time,early,일찍,Missing
Stem,Body,ear_hole,귓구멍,Missing
Stem,Body,earlobe,귓볼,Missing
Stem,Body,brain,뇌,Missing
Stem,Body,throat,목구멍,Missing
Stem,Body,ankle,발목,Missing
Stem,Body,claws,발톱,Missing
Stem,Body,ball,볼,Missing
Stem,Body,wrist,손목,Missing
Stem,Body,forehead,이마,Missing
Stem,Body,nostrils,콧구멍,Missing
Stem,Body,runny_nose,콧물,Missing
Stem,Body,chin,턱,Missing
Stem,Body,elbow,팔꿈치,Missing
Stem,Body,blood,피,Missing
Stem,Body,waist,허리,Missing
Stem,Body,thighs,허벅지,Missing
Stem,Instruments,recorder,리코더,Missing
Stem,Instruments,microphone,마이크,Missing
Stem,Instruments,cymbals,심벌즈,Missing
Stem,Instruments,castanets,캐스터네츠,Missing
Stem,Instruments,tambourine,탬버린,Missing
Stem,Instruments,flute,피리,Missing
Stem,Instruments,harmonica,하모니카,Missing
Stem,Safety_Medical,better,낫다,Missing
Stem,Safety_Medical,get_hurt,다치다,Missing
Stem,Safety_Medical,deida,데이다,Missing
Stem,Safety_Medical,stop,정류장,Missing
Stem,Safety_Medical,cut,썰다,Missing
Stem,Safety_Medical,break,깨뜨리다,Missing
Stem,Safety_Medical,be_careful,조심하다,Missing
Stem,Safety_Medical,phlegm,가래,Missing
Stem,Safety_Medical,powdered_medicine,가루약,Missing
Stem,Safety_Medical,crossing,건널목,Missing
Stem,Safety_Medical,crutches,목발,Missing
Stem,Safety_Medical,band,밴드,Missing
Stem,Safety_Medical,fire,불,Missing
Stem,Safety_Medical,fire_extinguisher,소화기,Missing
Stem,Safety_Medical,traffic_lights,신호등,Missing
Stem,Safety_Medical,pill,알약,Missing
Stem,Safety_Medical,ointment,연고,Missing
Stem,Safety_Medical,smoke,연기,Missing
Stem,Safety_Medical,stethoscope,청진기,Missing
Stem,Accessories,feather,깃,Missing
Stem,Accessories,string,끈,Missing
Stem,Accessories,bow_tie,나비넥타이,Missing
Stem,Accessories,suspenders,멜빵,Missing
Stem,Accessories,sunglasses,선글라스,Missing
Stem,Accessories,cap_hat,캡모자,Missing
Stem,Accessories,fur_hat,털모자,Missing
Stem,Accessories,bracelet,팔찌,Missing
Stem,Hygiene_Cleaning,wake_up,깨다,Missing
Stem,Hygiene_Cleaning,leave,남기다,Missing
Stem,Hygiene_Cleaning,sleep,누다,Missing
Stem,Hygiene_Cleaning,wipe,닦아주다,Missing
Stem,Hygiene_Cleaning,take_a_bath,목욕하다,Missing
Stem,Hygiene_Cleaning,empty,텅비다,Missing
Stem,Hygiene_Cleaning,wash_one_s_face,세수하다,Missing
Stem,Hygiene_Cleaning,cheap,싸다,Missing
Stem,Location_Direction,edge,가장자리,Missing
Stem,Location_Direction,across_the_street,건너편,Missing
Stem,Location_Direction,in_the_middle_of_nowhere,한가운데,Missing
Stem,Location_Direction,close,가까이,Missing
Stem,Location_Direction,straight,똑바로,Missing
Stem,Location_Direction,out,밖으로,Missing
Stem,Location_Direction,round_and_round,빙글빙글,Missing
Stem,Location_Direction,down,아래로,Missing
Stem,Location_Direction,in,안으로,Missing
Stem,Location_Direction,forward,앞으로,Missing
Stem,Location_Direction,sideways,옆으로,Missing
Stem,Location_Direction,up,위로,Missing
Stem,Location_Direction,all_the_way,쭉,Missing
Stem,Food,seaweed_soup,미역국,Missing
Stem,Food,butter,버터,Missing
Stem,Food,fried_rice,볶음밥,Missing
Stem,Food,bulgogi,불고기,Missing
Stem,Food,bungeobbang,붕어빵,Missing
Stem,Food,bibimbap,비빔밥,Missing
Stem,Food,shaved_ice,빙수,Missing
Stem,Food,cider,사이다,Missing
Stem,Food,sandwich,샌드위치,Missing
Stem,Food,sugar,설탕,Missing
Stem,Food,salt,소금,Missing
Stem,Food,cotton_candy,솜사탕,Missing
Stem,Food,sundae,순대,Missing
Stem,Food,spaghetti,스파게티,Missing
Stem,Food,syrup,시럽,Missing
Stem,Food,vinegar,식초,Missing
Stem,Food,fish_cake,어묵,Missing
Stem,Food,waffle,와플,Missing
Stem,Food,jam,잼,Missing
Stem,Food,jjajangmyeon,짜장면,Missing
Stem,Food,jjambbong,짬뽕,Missing
Stem,Food,sesame_oil,참기름,Missing
Stem,Food,curry,카레,Missing
Stem,Food,ketchup,케첩,Missing
Stem,Food,cola,콜라,Missing
Stem,Clothes,bra,브래지어,Missing
Stem,Clothes,sleeve,소매,Missing
Stem,Clothes,swimsuit,수영복,Missing
Stem,Clothes,sweater,스웨터,Missing
Stem,Clothes,shoelace,신발끈,Missing
Stem,Clothes,lapel,옷깃,Missing
Stem,Clothes,raincoat,비옷,Missing
Stem,Clothes,pajamas,잠옷,Missing
Stem,Clothes,vest,조끼,Missing
Stem,Clothes,pocket,주머니,Missing
Stem,Clothes,zipper,지퍼,Missing
Stem,Cognition_Interaction,teach,가르치다,Missing
Stem,Cognition_Interaction,repay,갚다,Missing
Stem,Cognition_Interaction,lie,거짓말,Missing
Stem,Cognition_Interaction,choose,선택하다,Missing
Stem,Cognition_Interaction,thank_you,고마워하다,Missing
Stem,Cognition_Interaction,remember,기억하다,Missing
Stem,Cognition_Interaction,share,나누다,Missing
Stem,Cognition_Interaction,tease,놀리다,Missing
Stem,Cognition_Interaction,return,돌려주다,Missing
Stem,Cognition_Interaction,listen,듣다,Missing
Stem,Cognition_Interaction,speak,말하다,Missing
Stem,Cognition_Interaction,don_t_know,모르다,Missing
Stem,Cognition_Interaction,sorry,미안해,Missing
Stem,Cognition_Interaction,believe,믿다,Missing
Stem,Cognition_Interaction,learn,배우다,Missing
Stem,Cognition_Interaction,see,보다,Missing
Stem,Cognition_Interaction,lend,빌려주다,Missing
Stem,Cognition_Interaction,apologize,사과하다,Missing
Stem,Cognition_Interaction,think,생각,Missing
Stem,Cognition_Interaction,shout,소리치다,Missing
Stem,Cognition_Interaction,whisper,속삭이다,Missing
Stem,Cognition_Interaction,know,알다,Missing
Stem,Cognition_Interaction,promise,다짐하다,Missing
Stem,Cognition_Interaction,violate,어기다,Missing
Stem,Cognition_Interaction,forgive,용서하다,Missing
Stem,Cognition_Interaction,doubt,의심하다,Missing
Stem,Cognition_Interaction,forget,까먹다,Missing
Stem,Cognition_Interaction,sneeze,재채기하다,Missing
Stem,Cognition_Interaction,protect,지키다,Missing
Stem,Cognition_Interaction,rules,규칙,Missing
Stem,Cognition_Interaction,order,질서,Missing
Stem,Cognition_Interaction,fight,싸움,Missing
Stem,Cognition_Interaction,concession,양보,Missing
Stem,Cognition_Interaction,greetings,인사,Missing
Stem,Cognition_Interaction,line,줄,Missing
Stem,Cognition_Interaction,turn,차례,Missing
Stem,Cognition_Interaction,praise,칭찬,Missing
Stem,Cognition_Interaction,together,같이,Missing
Stem,Cognition_Interaction,get_along_well,사이좋게,Missing
Stem,Nature_Environment,icicle,고드름,Missing
Stem,Nature_Environment,field,들판,Missing
Stem,Nature_Environment,shooting_star,별똥별,Missing
Stem,Nature_Environment,starlight,별빛,Missing
Stem,Nature_Environment,roots,뿌리,Missing
Stem,Nature_Environment,sprout,새싹,Missing
Stem,Nature_Environment,forest,숲,Missing
Stem,Nature_Environment,seeds,씨앗,Missing
Stem,Nature_Environment,ice,얼음,Missing
Stem,Nature_Environment,alien,외계인,Missing
Stem,Nature_Environment,space,우주,Missing
Stem,Nature_Environment,stem,줄기,Missing
Stem,Nature_Environment,earth,지구,Missing
Stem,Nature_Environment,earthquake,지진,Missing
Stem,Nature_Environment,mud,진흙,Missing
Stem,Nature_Environment,waves,파도,Missing
Stem,Nature_Environment,lake,호수,Missing
Stem,Nature_Environment,volcano,화산,Missing
Stem,Toys_Play,scab,딱지,Missing
Stem,Toys_Play,sand_play,모래놀이,Missing
Stem,Toys_Play,paint,물감,Missing
Stem,Toys_Play,brush,붓,Missing
Stem,Toys_Play,confetti,색종이,Missing
Stem,Toys_Play,coloring_book,색칠공부,Missing
Stem,Toys_Play,kite,연,Missing
Stem,Toys_Play,clay,점토,Missing
Stem,Toys_Play,jungle_gym,정글짐,Missing
Stem,Toys_Play,palette,팔레트,Missing
Stem,Places,distance,거리,Missing
Stem,Places,stadium,경기장,Missing
Stem,Places,laundry,빨래,Missing
Stem,Places,pediatrics,소아과,Missing
Stem,Places,aquarium,수족관,Missing
Stem,Places,botanical_garden,식물원,Missing
Stem,Places,shoe_store,신발가게,Missing
Stem,Places,icecream_shop,아이스크림가게,Missing
Stem,Places,optician,안경점,Missing
Stem,Places,ophthalmology,안과,Missing
Stem,Places,movie_theater,영화관,Missing
Stem,Places,clothing_store,옷가게,Missing
Stem,Places,kindergarten,유치원,Missing
Stem,Places,bank,은행,Missing
Stem,Places,barber_shop,이발소,Missing
Stem,Places,otolaryngology,이비인후과,Missing
Stem,Places,toy_store,장난감가게,Missing
Stem,Places,house,집,Missing
Stem,Places,dentistry,치과,Missing
Stem,Places,cafe,카페,Missing
Stem,Places,convenience_store,편의점,Missing
Stem,Jobs,architect,건축가,Missing
Stem,Jobs,scientist,과학자,Missing
Stem,Jobs,principal,교장선생님,Missing
Stem,Jobs,paramedic,구급대원,Missing
Stem,Jobs,reporter,기자,Missing
Stem,Jobs,carpenter,목수,Missing
Stem,Jobs,dentist,치과의사,Missing
Stem,Jobs,painter,화가,Missing
Stem,Vegetables,cabbage,양배추,Missing
Stem,Vegetables,lettuce,상추,Missing
Stem,Vegetables,spinach,시금치,Missing
Stem,Vegetables,zucchini,애호박,Missing
Stem,Vegetables,bean_sprouts,콩나물,Missing
Stem,Vegetables,paprika,파프리카,Missing
Stem,Vegetables,green_pepper,피망,Missing
Stem,Abstract_Concepts,fake,가짜,Missing
Stem,Abstract_Concepts,lie,거짓말,Missing
Stem,Abstract_Concepts,mood,기분,Missing
Stem,Abstract_Concepts,joy,기쁨,Missing
Stem,Abstract_Concepts,scold,꾸중,Missing
Stem,Abstract_Concepts,dream,꿈,Missing
Stem,Abstract_Concepts,informal_language,반말,Missing
Stem,Abstract_Concepts,secret,비밀,Missing
Stem,Abstract_Concepts,think,생각,Missing
Stem,Abstract_Concepts,wish,소원,Missing
Stem,Abstract_Concepts,wrong,잘못,Missing
Stem,Abstract_Concepts,prank,장난,Missing
Stem,Vehicles,tow_truck,견인차,Missing
Stem,Vehicles,express_bus,고속버스,Missing
Stem,Vehicles,high_speed_train,고속열차,Missing
Stem,Vehicles,dump_truck,덤프트럭,Missing
Stem,Vehicles,village_bus,마을버스,Missing
Stem,Vehicles,bulldozer,불도저,Missing
Stem,Vehicles,garbage_truck,쓰레기차,Missing
Stem,Vehicles,passenger_ship,여객선,Missing
Stem,Vehicles,moving_truck,이삿짐차,Missing
Stem,Action_Behavior,tickle,간지럽히다,Missing
Stem,Action_Behavior,hide,감추다,Missing
Stem,Action_Behavior,fold,개다,Missing
Stem,Action_Behavior,crumple,구기다,Missing
Stem,Action_Behavior,roll_over,구르다,Missing
Stem,Action_Behavior,scratch,긁다,Missing
Stem,Action_Behavior,crawl,기어가다,Missing
Stem,Action_Behavior,lay_down,깔다,Missing
Stem,Action_Behavior,blink,깜빡이다,Missing
Stem,Action_Behavior,break,깨뜨리다,Missing
Stem,Action_Behavior,pinch,꼬집다,Missing
Stem,Action_Behavior,hang_up,끊다,Missing
Stem,Action_Behavior,fly,날다,Missing
Stem,Action_Behavior,lay_out,널다,Missing
Stem,Action_Behavior,glare,노려보다,Missing
Stem,Action_Behavior,run,달리다,Missing
Stem,Action_Behavior,cover,덮다,Missing
Stem,Action_Behavior,drop,떨어져,Missing
Stem,Action_Behavior,dry,건조하다,Missing
Stem,Action_Behavior,fiddle_with,만지작거리다,Missing
Stem,Action_Behavior,hi,안녕,Missing
Stem,Action_Behavior,piggyback,업어,Missing
Stem,Action_Behavior,greet_it,인사해,Missing
Stem,Action_Behavior,get_up,일어나,Missing
Stem,Action_Behavior,stand_up_it,일어서,Missing
Stem,Action_Behavior,cut_it,잘라,Missing
Stem,Action_Behavior,grab,잡아,Missing
Stem,Action_Behavior,fold_it,접어,Missing
Stem,Action_Behavior,like_it,좋아해,Missing
Stem,Action_Behavior,tear_it,찢어,Missing
Stem,Action_Behavior,endure_it,참아,Missing
Stem,Action_Behavior,dance_it,춤춰,Missing
Stem,Action_Behavior,turn_on_it,켜,Missing
Stem,Action_Behavior,unfold_it,펴,Missing
Stem,Action_Behavior,untie,풀어,Missing
Stem,Action_Behavior,get_angry_it,화내,Missing
Petal,Family,aunt,고모,Missing
Petal,Family,sisters,자매,Missing
Petal,Family,ancestor,조상,Missing
Petal,Family,nephew,조카,Missing
Petal,Family,relative,친척,Missing
Petal,Emotion_Psychology,promise,다짐하다,Missing
Petal,Emotion_Psychology,imagine,상상하다,Missing
Petal,Emotion_Psychology,misunderstand,오해하다,Missing
Petal,Emotion_Psychology,understand,이해하다,Missing
Petal,Emotion_Psychology,be_mistaken,착각하다,Missing
Petal,Emotion_Psychology,regret,후회하다,Missing
Petal,Emotion_Psychology,thank_goodness,다행이다,Missing
Petal,Emotion_Psychology,embarrassed,당황하다,Missing
Petal,Emotion_Psychology,i_m_anxious,불안하다,Missing
Petal,Emotion_Psychology,disappointed,실망하다,Missing
Petal,Emotion_Psychology,lonely,외롭다,Missing
Petal,Emotion_Psychology,depressed,우울하다,Missing
Petal,Emotion_Psychology,i_m_proud,자랑스럽다,Missing
Petal,Emotion_Psychology,comfortable,편안하다,Missing
Petal,Emotion_Psychology,it_s_absurd,황당하다,Missing
Petal,Economy_Money,waste,낭비하다,Missing
Petal,Economy_Money,put_out,내다,Missing
Petal,Economy_Money,buy,사다,Missing
Petal,Economy_Money,save,아끼다,Missing
Petal,Economy_Money,save_up,저금하다,Missing
Petal,Economy_Money,sell,팔다,Missing
Petal,Economy_Money,price,가격,Missing
Petal,Economy_Money,poverty,가난,Missing
Petal,Economy_Money,change,잔돈,Missing
Petal,Economy_Money,calculation,계산,Missing
Petal,Economy_Money,free,무료,Missing
Petal,Economy_Money,money,돈,Missing
Petal,Economy_Money,coin,동전,Missing
Petal,Economy_Money,rich,부자,Missing
Petal,Economy_Money,tax,세금,Missing
Petal,Economy_Money,receipt,영수증,Missing
Petal,Economy_Money,paid,유료,Missing
Petal,Economy_Money,piggy_bank,저금통,Missing
Petal,Economy_Money,wallet,지갑,Missing
Petal,Economy_Money,paper_money,지폐,Missing
Petal,Economy_Money,card,카드,Missing
Petal,Economy_Money,bankbook,통장,Missing
Petal,Economy_Money,expensive,비싸다,Missing
Petal,Insects,moth,나방,Missing
Petal,Insects,wasp,말벌,Missing
Petal,Insects,katydid,여치,Missing
Petal,Insects,scorpion,전갈,Missing
Petal,Insects,centipede,지네,Missing
Petal,Insects,earthworm,지렁이,Missing
Petal,Weather,frost,서리,Missing
Petal,Weather,dew,이슬,Missing
Petal,Weather,typhoon,태풍,Missing
Petal,Weather,flood,홍수,Missing
Petal,Weather,whirlwind,회오리바람,Missing
Petal,Pronoun_Conjunction,too,너무,Missing
Petal,Pronoun_Conjunction,of_course,당연히,Missing
Petal,Pronoun_Conjunction,moreover,더구나,Missing
Petal,Pronoun_Conjunction,finally,마침내,Missing
Petal,Pronoun_Conjunction,very,엄청,Missing
Petal,Pronoun_Conjunction,surely,반드시,Missing
Petal,Pronoun_Conjunction,not_really,별로,Missing
Petal,Pronoun_Conjunction,maybe,아마도,Missing
Petal,Pronoun_Conjunction,rather,차라리,Missing
Petal,Pronoun_Conjunction,by_chance,우연히,Missing
Petal,Pronoun_Conjunction,not_at_all,전혀,Missing
Petal,Pronoun_Conjunction,never,절대,Missing
Petal,Pronoun_Conjunction,really,정말,Missing
